name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,developer
Gears Of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,Epic Games
Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,Rare Ltd.
Gears Of War,Xbox 360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,Epic Games
Fifa 15,PlayStation 4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,EA Sports
Metal Gear Solid 2: Sons Of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,KCEJ
Sonic The Hedgehog 2,Sega Genesis,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,Unknown
Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,KCEJ
Metal Gear Solid 4: Guns Of The Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,Kojima Productions
Final Fantasy Xii,PlayStation 2,2006,Role Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,Square Enix
The Last Of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,Naughty Dog
Littlebigplanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,"SCE/WWS, Media Molecule"
Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,Capcom
Dragon Quest Ix: Sentinels Of The Starry Skies,Nintendo DS,2009,Role Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,Level 5
Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,Namco
Destiny,PlayStation 4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,"Bungie Software, Bungie"
Lego Star Wars: The Complete Saga,Nintendo Wii,2007,Action,Lucasarts,3.57,1.55,0.0,0.51,5.64,Traveller's Tales
Cooking Mama,Nintendo DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,Taito Corporation
Tetris,Nintendo Entertainment System,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,Unknown
Super Smash Bros.,Nintendo 64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,Unknown
Assassin'S Creed Ii,PlayStation 3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,Ubisoft Montreal
Assassin'S Creed,Xbox 360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,Ubisoft Montreal
Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,Turn 10
Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,Nintendo
Monster Hunter Freedom Unite,PlayStation Portable,2008,Role Playing,Capcom,0.47,0.55,4.13,0.34,5.48,Capcom
Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,Rocksteady Studios
Grand Theft Auto V,Xbox One,2014,Action,Take Two Interactive,2.81,2.19,0.0,0.47,5.48,Rockstar North
Mario Kart: Super Circuit,Game Boy Advance,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,Intelligent Systems
Super Mario World,Game Boy Advance,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,Unknown
Pokemon Stadium,Nintendo 64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,Unknown
Crash Bandicoot: The Wrath Of Cortex,PlayStation 2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,Traveller's Tales
Call Of Duty: World At War,PlayStation 3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,Treyarch
Uncharted 4: A Thief'S End,PlayStation 4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,Naughty Dog
Dr. Mario,Game Boy,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,Unknown
Final Fantasy Xiii,PlayStation 3,2009,Role Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,Square Enix
Pokemon Pinball,Game Boy,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,Unknown
Final Fantasy Ix,PlayStation,2000,Role Playing,Squaresoft,1.62,0.77,2.78,0.14,5.3,SquareSoft
Assassin'S Creed Iii,Xbox 360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,Ubisoft
Final Fantasy X-2,PlayStation 2,2003,Role Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,SquareSoft
Donkey Kong 64,Nintendo 64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,Unknown
Call Of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,Sledgehammer Games
Minecraft,PlayStation 3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,Unknown
Assassin'S Creed Ii,Xbox 360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,Ubisoft Montreal
Tomb Raider Ii,PlayStation,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,Core Design Ltd.
Tomodachi Life,Nintendo 3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,Unknown
New Super Mario Bros. U,Nintendo Wii U,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,Nintendo
Dragon Quest Viii: Journey Of The Cursed King,PlayStation 2,2004,Role Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,Level 5
Super Mario Bros. 3,Game Boy Advance,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,Unknown
Professor Layton And The Curious Village,Nintendo DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,Level 5
Super Mario Land 3: Wario Land,Game Boy,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,Unknown
Fifa Soccer 13,Xbox 360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,Electronic Arts
Donkey Kong Country 2: Diddy'S Kong Quest,Super Nintendo Entertainment System,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,Unknown
Diablo Iii,Personal Computer,2012,Role Playing,Activision,2.44,2.16,0.0,0.54,5.14,Blizzard Entertainment
Medal Of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,EA LA
Kirby'S Dream Land,Game Boy,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,Unknown
Microsoft Flight Simulator,Personal Computer,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Unknown
Guitar Hero Ii,PlayStation 2,2006,Misc,Redoctane,3.81,0.63,0.0,0.68,5.12,Harmonix Music Systems
Fable Iii,Xbox 360,2010,Role Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,Lionhead Studios
Mario & Sonic At The Olympic Games,Nintendo DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,Unknown
Resident Evil 5,PlayStation 3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,Capcom
The Legend Of Zelda: Phantom Hourglass,Nintendo DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,Nintendo
Super Mario Bros.,Game Boy,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,Unknown
Fifa Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,EA Sports
Resident Evil,PlayStation,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,Capcom
Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take Two Interactive,1.7,1.99,0.16,1.18,5.03,Rockstar Leeds
